cohort_month,cohort_index,n_customers,cohort_size,retention_rate
2016-09,0,2,2,1.0
2016-10,0,290,290,1.0
2016-10,6,1,290,0.0034
2016-10,9,1,290,0.0034
2016-10,11,1,290,0.0034
2016-10,13,1,290,0.0034
2016-10,15,1,290,0.0034
2016-10,17,1,290,0.0034
2016-10,19,2,290,0.0069
2016-10,20,2,290,0.0069
2016-12,0,1,1,1.0
2016-12,1,1,1,1.0
2017-01,0,752,752,1.0
2017-01,1,3,752,0.004
2017-01,2,2,752,0.0027
2017-01,3,1,752,0.0013
2017-01,4,3,752,0.004
2017-01,5,1,752,0.0013
2017-01,6,3,752,0.004
2017-01,7,1,752,0.0013
2017-01,8,1,752,0.0013
2017-01,10,3,752,0.004
2017-01,11,1,752,0.0013
2017-01,12,5,752,0.0066
2017-01,13,3,752,0.004
2017-01,14,1,752,0.0013
2017-01,15,1,752,0.0013
2017-01,16,2,752,0.0027
2017-01,17,3,752,0.004
2017-01,19,1,752,0.0013
2017-02,0,1690,1690,1.0
2017-02,1,4,1690,0.0024
2017-02,2,5,1690,0.003
2017-02,3,2,1690,0.0012
2017-02,4,7,1690,0.0041
2017-02,5,2,1690,0.0012
2017-02,6,4,1690,0.0024
2017-02,7,3,1690,0.0018
2017-02,8,2,1690,0.0012
2017-02,9,3,1690,0.0018
2017-02,10,2,1690,0.0012
2017-02,11,5,1690,0.003
2017-02,12,2,1690,0.0012
2017-02,13,3,1690,0.0018
2017-02,14,2,1690,0.0012
2017-02,15,1,1690,0.0006
2017-02,16,1,1690,0.0006
2017-02,17,4,1690,0.0024
2017-03,0,2571,2571,1.0
2017-03,1,13,2571,0.0051
2017-03,2,9,2571,0.0035
2017-03,3,10,2571,0.0039
2017-03,4,9,2571,0.0035
2017-03,5,4,2571,0.0016
2017-03,6,4,2571,0.0016
